Year,Month,Landslide,Rainfall
2011,April,0,11.9
2011,May,0,462.5
2011,June,0,529.1
2011,July,0,427.5
2011,August,16,1096.3
2011,September,0,619.7
2011,October,0,332.4
2011,November,0,81.6
2011,December,0,67.4
2012,January,0,17.5
2012,February,0,80.8
2012,March,0,151.9
2012,April,0,72.6
2012,May,0,187.7
2012,June,0,659
2012,July,0,1020
2012,August,3,2200.7
2012,September,0,288.3
2012,October,0,72.4
2012,November,0,57.8
2012,December,0,10.8
2013,January,0,11.4
2013,February,0,26.8
2013,March,0,63.6
2013,April,0,70.3
2013,May,0,338.7
2013,June,0,232.8
2013,July,0,368.2
2013,August,0,1220.4
2013,September,0,590.1
2013,October,0,240
2013,November,0,53.5
2013,December,0,23.6
2014,January,0,0
2014,February,0,0
2014,March,0,2.9
2014,April,0,125.3
2014,May,0,211
2014,June,0,401.7
2014,July,0,448.2
2014,August,0,527.9
2014,September,30,978.4
2014,October,0,100.1
2014,November,0,35.2
2014,December,0,4.5
2015,January,0,9.3
2015,February,0,4.3
2015,March,0,55.1
2015,April,0,118
2015,May,0,242.5
2015,June,0,282.5
2015,July,0,1492.9
2015,August,5,1029.6
2015,September,0,260.6
2015,October,35,1210.2
2015,November,0,7
2015,December,0,165.1
2016,January,0,4.2
2016,February,0,1.2
2016,March,0,7.4
2016,April,0,56
2016,May,0,212.3
2016,June,0,175.3
2016,July,0,425.8
2016,August,0,954.6
2016,September,0,411.1
2016,October,0,569.4
2016,November,0,21.2
2016,December,0,79
2017,January,0,37.9
2017,February,0,67.5
2017,March,0,4.7
2017,April,0,58.3
2017,May,0,569.1
2017,June,0,205.5
2017,July,0,748
2017,August,0,445.6
2017,September,0,202.9
2017,October,0,227
2017,November,0,118
2017,December,0,25.4
2018,January,0,13.2
2018,February,0,1.2
2018,March,0,2.8
2018,April,0,202
2018,May,0,282.2
2018,June,0,551.6
2018,July,0,1001.5
2018,August,0,1821.6
2018,September,26,1217.6
2018,October,0,265.6
2018,November,0,16.8
2018,December,0,21.8
2019,January,0,3.4
2019,February,0,0
2019,March,0,11.8
2019,April,0,95.4
2019,May,0,392.5
2019,June,0,274.1
2019,July,0,434.7
2019,August,0,1524.2
2019,September,0,738.9
2019,October,0,131.6
2019,November,0,118.2
2019,December,0,16.5
2020,January,0,13.4
2020,February,0,4.4
2020,March,0,19.6
2020,April,0,111
2020,May,0,293.2
2020,June,0,335
2020,July,0,344.6
2020,August,0,282.9
2020,September,0,226.2
2020,October,0,282.9
2020,November,0,165.5
2020,December,0,154.6
2021,January,0,43.6
2021,February,0,15.8
2021,March,0,192.5
2021,April,0,19.3
2021,May,0,148.6
2021,June,0,291.1
2021,July,0,1539.1
2021,August,0,965
2021,September,0,430.9
2021,October,14,866.5
2021,November,0,109
2021,December,0,5.1
2022,January,0,83.1
2022,February,0,38
2022,March,0,66.1
2022,April,0,166.3
2022,May,0,290.6
2022,June,0,218.5
2022,July,0,249.6
2022,August,0,568.9
2022,September,0,481.3
2022,October,0,749.8
2022,November,0,23.1
2022,December,0,0
2023,January,0,27
2023,February,0,53.5
2023,March,0,2.7
2023,April,0,97.8
2023,May,0,588.8
2023,June,0,493.4
2023,July,0,1091.8
2023,August,0,1036.8
2023,September,0,679
2023,October,0,82.8
2023,November,0,17.8
2023,December,0,0.6
